feature,method,composite_score,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy
Admissions,Iterative Imputer (MICE),0.22916666666666669,5.524980701534754,4.418674729610981,1.1861025815782469,0.5407734554159676,0.5407734554159676,50.12410426082018,0.34527890000026673,0.6475
Available_Beds,Iterative Imputer (MICE),0.3125,8.851202183724322,4.70574330045643,3.656596663810151,-0.5961262094090012,0.5961262094090012,346.2138721775529,0.34527890000026673,0.6475
Average_Length_of_Stay,Median,0.3825,1.1036386316030562,0.8922395833333333,0.8922395833333336,-0.030677083333333053,0.030677083333333053,0.0,0.021116300000358024,0.66
Covid_Cases,Linear Interpolation,0.25250000000000006,3.2153377724184344,2.4296875,0.7682291666666667,-0.1328125,0.1328125,19.20763934100116,0.09353459999965708,0.6525
Discharges,Iterative Imputer (MICE),0.3125,7.053296578498202,5.735380893901552,1.5418583595111177,0.2830627403500186,0.2830627403500186,73.35304538036863,0.34527890000026673,0.6475
Doctors,Iterative Imputer (MICE),0.25416666666666665,1.0752112460956567,0.8965761876152897,0.36193907948668674,-0.2527069084908468,0.2527069084908468,6.475231145139495,0.34527890000026673,0.6475
Emergency_Beds,Iterative Imputer (MICE),0.2941666666666667,6.9077936901841674,3.525006706039809,1.922319624439554,-0.6523040961214411,0.6523040961214411,93.91715541528306,0.34527890000026673,0.6475
Emergency_Cases,Iterative Imputer (MICE),0.33416666666666667,6.625954644510148,5.241776119122343,3.8612857237488862,-0.0912661368642597,0.0912661368642597,5.6738342906005235,0.34527890000026673,0.6475
General_Beds,Iterative Imputer (MICE),0.25083333333333335,9.892730944528445,5.004813602736609,3.273483059894222,-0.8262589402616096,0.8262589402616096,1103.027874665482,0.34527890000026673,0.6475
ICU_Beds,Iterative Imputer (MICE),0.2425,5.776970963275022,3.02657000487832,1.003716864925033,0.1752285763694316,0.1752285763694316,52.58769539530803,0.34527890000026673,0.6475
Nurses,Iterative Imputer (MICE),0.24583333333333335,3.195876547404166,2.6059445237231107,0.6759854251235515,0.3744266668122967,0.3744266668122967,91.70258782049149,0.34527890000026673,0.6475
Occupied_Beds,Iterative Imputer (MICE),0.2675,10.4038112428228,4.829799605402849,3.0761961209851187,-0.7072055743201751,0.7072055743201751,715.0171466295122,0.34527890000026673,0.6475
Staff_On_Duty,Iterative Imputer (MICE),0.25416666666666665,4.392299975830455,3.3815316082664104,0.9289310687774143,0.4298298842314237,0.4298298842314237,274.1920604953992,0.34527890000026673,0.6475
