feature,importance_mean,importance_std
Bed_Occupancy_Rate_Normalized,0.6626593806921676,0.01825678253307951
ICU_Beds,0.0,0.0
Emergency_Beds,0.0,0.0
Admissions,0.0,0.0
Discharges,0.0,0.0
Doctors,0.0,0.0
Nurses,0.0,0.0
Staff_On_Duty,0.0,0.0
Average_Length_of_Stay,0.0,0.0
General_Beds,0.0,0.0
Emergency_Cases,0.0,0.0
Covid_Cases,0.0,0.0
Doctor_Ratio,0.0,0.0
Staff_per_Bed,0.0,0.0
Admissions_per_Bed,0.0,0.0
Emergency_Load_Interaction,0.0,0.0
Staffing_Pressure_Interaction,0.0,0.0
Nurse_Ratio,0.0,0.0
Emergency_Cases_Squared,0.0,0.0
Month,0.0,0.0
Quarter,0.0,0.0
Day_of_Week,0.0,0.0
Weekend_Indicator,0.0,0.0
Holiday_Indicator,0.0,0.0
Admissions_Lag_1,0.0,0.0
Admissions_Squared,0.0,0.0
Admissions_Growth,0.0,0.0
Admissions_Rolling_Mean_7,0.0,0.0
Admissions_Moving_Average_14,0.0,0.0
Admissions_Rolling_Median_7,0.0,0.0
Discharges_Normalized,0.0,0.0
Nurses_Normalized,0.0,0.0
Staff_On_Duty_Normalized,0.0,0.0
Admissions_Normalized,0.0,0.0
Emergency_Cases_Normalized,0.0,0.0
Hospital_ID,0.0,0.0
City,0.0,0.0
Department,0.0,0.0
Ward,0.0,0.0
Weather,0.0,0.0
Holiday,0.0,0.0
Season,0.0,0.0
